               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.034929,            0.010265,           0.0031694,             0.94984,             0.92514,             0.94095,             0.62267,            0.022781,           0.0053568,           0.0013184,            0.005347,            0.005347,            0.005347
                  49,            0.033216,            0.009798,           0.0027703,             0.98009,             0.91978,              0.9415,             0.62606,            0.020894,           0.0052595,           0.0014437,            0.005248,            0.005248,            0.005248
                  50,            0.032672,           0.0095135,            0.003097,             0.93997,             0.92246,             0.94254,             0.63295,            0.020729,           0.0055013,           0.0014952,            0.005149,            0.005149,            0.005149
                  51,            0.031588,           0.0090296,           0.0026996,             0.95983,              0.9242,             0.94611,             0.65466,            0.021788,           0.0051734,           0.0014254,             0.00505,             0.00505,             0.00505
                  52,            0.033469,           0.0098414,           0.0027043,              0.9537,               0.928,               0.944,             0.65613,            0.019627,           0.0051746,            0.001454,            0.004951,            0.004951,            0.004951
                  53,            0.031571,           0.0090103,             0.00293,             0.94015,              0.9216,             0.94228,             0.65282,            0.019744,           0.0052888,           0.0013933,            0.004852,            0.004852,            0.004852
                  54,            0.029618,           0.0087392,           0.0028839,             0.94371,             0.90854,             0.94029,             0.66252,            0.019273,           0.0049989,           0.0015982,            0.004753,            0.004753,            0.004753
                  55,            0.029421,           0.0084341,           0.0025216,             0.93308,             0.91304,             0.93507,             0.62474,             0.02192,           0.0048521,           0.0018579,            0.004654,            0.004654,            0.004654
                  56,            0.028392,           0.0082416,           0.0021228,             0.94351,              0.9029,             0.93635,             0.67381,            0.019449,            0.004766,           0.0020536,            0.004555,            0.004555,            0.004555
                  57,            0.030993,           0.0086035,           0.0023699,             0.94436,             0.90021,              0.9301,             0.66028,            0.018564,           0.0048599,           0.0019667,            0.004456,            0.004456,            0.004456
                  58,            0.030899,           0.0087507,           0.0024761,             0.95324,             0.92133,              0.9299,             0.64491,            0.017154,           0.0048659,           0.0012139,            0.004357,            0.004357,            0.004357
                  59,            0.028102,           0.0091374,           0.0018978,             0.96395,             0.92484,             0.93348,             0.65703,             0.01734,           0.0048232,          0.00097904,            0.004258,            0.004258,            0.004258
                  60,            0.029688,            0.010014,           0.0020045,             0.95033,              0.9084,             0.93165,             0.66258,             0.01709,           0.0050104,          0.00092869,            0.004159,            0.004159,            0.004159
                  61,            0.030511,           0.0098289,            0.002544,             0.92844,             0.94336,             0.93591,             0.61525,            0.020023,           0.0048885,          0.00088434,             0.00406,             0.00406,             0.00406
                  62,            0.026981,           0.0087349,           0.0017955,             0.96031,             0.94336,             0.94025,             0.64966,            0.017669,           0.0047846,          0.00090637,            0.003961,            0.003961,            0.003961
                  63,            0.025704,           0.0081408,           0.0028931,             0.95328,             0.94336,             0.94372,              0.6907,             0.01676,           0.0047667,          0.00090179,            0.003862,            0.003862,            0.003862
                  64,            0.025926,           0.0087351,            0.001888,             0.94972,             0.94336,             0.93796,             0.70621,             0.01631,           0.0047691,          0.00085344,            0.003763,            0.003763,            0.003763
                  65,            0.025731,           0.0092053,           0.0020505,             0.95171,             0.94336,             0.92925,             0.67164,            0.017705,           0.0049782,          0.00083714,            0.003664,            0.003664,            0.003664
                  66,            0.026936,             0.00972,           0.0015233,             0.93693,             0.93229,              0.9344,              0.6546,            0.018938,           0.0051267,           0.0008749,            0.003565,            0.003565,            0.003565
                  67,            0.025797,           0.0079031,           0.0017815,             0.95098,             0.92375,             0.92322,             0.68736,            0.016349,           0.0048184,            0.001056,            0.003466,            0.003466,            0.003466
                  68,             0.02381,           0.0079921,           0.0013653,             0.94994,             0.92375,             0.91759,              0.6669,            0.017862,           0.0048146,           0.0012651,            0.003367,            0.003367,            0.003367
                  69,            0.025932,           0.0076294,           0.0015064,             0.94985,             0.92375,             0.92233,             0.67178,            0.018065,           0.0047848,           0.0014019,            0.003268,            0.003268,            0.003268
                  70,            0.023215,           0.0083297,           0.0019822,             0.94842,             0.92375,             0.92231,             0.65649,            0.017565,           0.0048132,           0.0012268,            0.003169,            0.003169,            0.003169
                  71,            0.024852,           0.0085848,           0.0014217,             0.95149,             0.92375,             0.92785,             0.65908,             0.01728,           0.0049396,           0.0010663,             0.00307,             0.00307,             0.00307
                  72,            0.024439,           0.0080721,           0.0016733,             0.94826,             0.94336,             0.93487,             0.69462,            0.016083,           0.0046687,            0.001038,            0.002971,            0.002971,            0.002971
                  73,             0.02324,           0.0077469,           0.0015153,             0.94862,             0.94319,              0.9329,             0.68969,            0.016144,           0.0047212,           0.0010712,            0.002872,            0.002872,            0.002872
                  74,            0.025176,           0.0078669,           0.0026838,              0.9454,             0.93925,              0.9406,             0.68279,             0.01645,           0.0048034,             0.00109,            0.002773,            0.002773,            0.002773
                  75,            0.024886,           0.0076631,           0.0013481,             0.95444,             0.92964,             0.94149,             0.71133,            0.015877,           0.0046644,            0.001147,            0.002674,            0.002674,            0.002674
                  76,            0.024903,           0.0078816,           0.0014915,             0.95257,             0.93468,             0.94054,             0.69942,            0.017378,           0.0046799,           0.0011458,            0.002575,            0.002575,            0.002575
